2024-05-20T08:46:44,826524677+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.6;
2024-05-20T08:46:45,857035122+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.6;
2024-05-20T08:46:46,886360037+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.6;
2024-05-20T08:46:47,918832153+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.6;
2024-05-20T08:46:48,951742549+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.7;
2024-05-20T08:46:49,996557413+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.7;
2024-05-20T08:46:51,035602809+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.7;
2024-05-20T08:46:52,085200262+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.5;humidity=50.7;
2024-05-20T08:46:53,143631159+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.5;humidity=50.7;
2024-05-20T08:46:54,187290321+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.4;humidity=50.5;
2024-05-20T08:46:55,216243950+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.4;humidity=50.5;
2024-05-20T08:46:56,257172646+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.4;humidity=50.5;
2024-05-20T08:46:57,303139658+02:00;temperature.gpu=38.1;temperature.cpu=38.09;temperature.env=25.4;humidity=50.5;
2024-05-20T08:46:58,352263770+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.4;humidity=50.5;
2024-05-20T08:46:59,391316685+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.4;humidity=50.5;
2024-05-20T08:47:00,422227017+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.4;humidity=50.5;
