timeInSecondsSinceEpoch;source;destination;databytes
1717607610.722709;192.168.1.1.8888;172.23.69.13.59034;695af3de8dbb
1717607610.722768;192.168.1.1.8888;172.23.69.13.59034;cf26ef3fde2a
1717607610.722868;192.168.1.1.8888;172.23.69.13.59034;55e48920fa52
1717607610.722990;192.168.1.1.8888;172.23.69.13.59034;33b35e221cd8
1717607610.723112;192.168.1.1.8888;172.23.69.13.59034;a17b78889d14
1717607610.723239;192.168.1.1.8888;172.23.69.13.59034;7daf13df23f5
1717607610.723384;192.168.1.1.8888;172.23.69.13.59034;26c08c6a2a60
1717607610.723482;192.168.1.1.8888;172.23.69.13.59034;57d538d72871
1717607610.723604;192.168.1.1.8888;172.23.69.13.59034;f8f4ae06a165
1717607610.723737;192.168.1.1.8888;172.23.69.13.59034;722e3ee23ab2
1717607610.723869;192.168.1.1.8888;172.23.69.13.59034;d8062915ebb8
1717607610.724010;192.168.1.1.8888;172.23.69.13.59034;9a42ad129e07
1717607610.724135;192.168.1.1.8888;172.23.69.13.59034;ac8aca5bf686
1717607610.724220;192.168.1.1.8888;172.23.69.13.59034;7abf3da914c4
1717607610.724365;192.168.1.1.8888;172.23.69.13.59034;0bba8eeab189
1717607610.724466;192.168.1.1.8888;172.23.69.13.59034;d64df0288dd2
1717607610.724587;192.168.1.1.8888;172.23.69.13.59034;21c2d001eb90
1717607610.724710;192.168.1.1.8888;172.23.69.13.59034;efb281f9c08a
1717607610.724791;192.168.1.1.8888;172.23.69.13.59034;b09a607c2e8d
1717607610.758779;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.759531;192.168.1.1.8888;172.23.69.13.59034;8b131517abe1
1717607610.759569;192.168.1.1.8888;172.23.69.13.59034;d05a7b20a130
1717607610.759574;192.168.1.1.8888;172.23.69.13.59034;3e743de70693
1717607610.797737;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.797780;192.168.1.1.8888;172.23.69.13.59034;079234c0d0c5
1717607610.798697;192.168.1.1.8888;172.23.69.13.59034;8d003cd9752b
1717607610.798725;192.168.1.1.8888;172.23.69.13.59034;115aaf6a1779
1717607610.834580;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.834651;192.168.1.1.8888;172.23.69.13.59034;a65bef23d5cc
1717607610.834661;192.168.1.1.8888;172.23.69.13.59034;4545fa0359f9
1717607610.858159;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.860887;192.168.1.1.8888;172.23.69.13.59034;2f40ba554b8a
