timeInSecondsSinceEpoch;source;destination;databytes
1717607710.253825;192.168.1.1.8888;172.23.69.13.59034;ef86143cc275
1717607710.253949;192.168.1.1.8888;172.23.69.13.59034;20a0d9da25d9
1717607710.254076;192.168.1.1.8888;172.23.69.13.59034;25299f6d0c11
1717607710.254214;192.168.1.1.8888;172.23.69.13.59034;b6a1e6f7c731
1717607710.254336;192.168.1.1.8888;172.23.69.13.59034;ecb3b59b88e4
1717607710.254464;192.168.1.1.8888;172.23.69.13.59034;49688c617d61
1717607710.254576;192.168.1.1.8888;172.23.69.13.59034;ced70d22e008
1717607710.254687;192.168.1.1.8888;172.23.69.13.59034;02b05b3105ca
1717607710.254811;192.168.1.1.8888;172.23.69.13.59034;9e0ca302cde2
1717607710.254937;192.168.1.1.8888;172.23.69.13.59034;63b9c23be885
1717607710.255057;192.168.1.1.8888;172.23.69.13.59034;d93b2657222b
1717607710.255178;192.168.1.1.8888;172.23.69.13.59034;577a9c2d9993
1717607710.255303;192.168.1.1.8888;172.23.69.13.59034;3667c2b715a2
1717607710.255425;192.168.1.1.8888;172.23.69.13.59034;5cd6d40bdcbe
1717607710.255548;192.168.1.1.8888;172.23.69.13.59034;6fae5df23b31
1717607710.255685;192.168.1.1.8888;172.23.69.13.59034;246f251bd878
1717607710.255796;192.168.1.1.8888;172.23.69.13.59034;d85caf54bf03
1717607710.255946;192.168.1.1.8888;172.23.69.13.59034;e426c51fe079
1717607710.256043;192.168.1.1.8888;172.23.69.13.59034;5a74063e53c7
1717607710.256164;192.168.1.1.8888;172.23.69.13.59034;53430f5e2a34
1717607710.256315;192.168.1.1.8888;172.23.69.13.59034;bd2f6df7f475
1717607710.288232;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.290502;192.168.1.1.8888;172.23.69.13.59034;88f7460fbf84
1717607710.290553;192.168.1.1.8888;172.23.69.13.59034;84fb95cc2342
1717607710.290558;192.168.1.1.8888;172.23.69.13.59034;9a244a68a799
1717607710.320963;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.321001;192.168.1.1.8888;172.23.69.13.59034;fbe1d415d215
1717607710.321588;192.168.1.1.8888;172.23.69.13.59034;b46d414f298e
1717607710.321609;192.168.1.1.8888;172.23.69.13.59034;f69bd717a0fe
1717607710.321644;192.168.1.1.8888;172.23.69.13.59034;bd7a09273bee
1717607710.322028;192.168.1.1.8888;172.23.69.13.59034;fa1c81babdcc
1717607710.322194;192.168.1.1.8888;172.23.69.13.59034;5cb4721a0d00
1717607710.322276;192.168.1.1.8888;172.23.69.13.59034;77b19e75df6d
1717607710.322364;192.168.1.1.8888;172.23.69.13.59034;cfbdc0ea0cea
1717607710.322491;192.168.1.1.8888;172.23.69.13.59034;ac95f34fb4f8
1717607710.322597;192.168.1.1.8888;172.23.69.13.59034;a5ec0d22bc5a
1717607710.353049;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.353083;192.168.1.1.8888;172.23.69.13.59034;0f99bffd88b2
1717607710.353120;192.168.1.1.8888;172.23.69.13.59034;c9b61f048e26
1717607710.353245;192.168.1.1.8888;172.23.69.13.59034;b55825e46985
1717607710.353390;192.168.1.1.8888;172.23.69.13.59034;b0ebd948bcea
1717607710.353492;192.168.1.1.8888;172.23.69.13.59034;154e03ccc486
1717607710.353621;192.168.1.1.8888;172.23.69.13.59034;e7eea2aee8ef
1717607710.353732;192.168.1.1.8888;172.23.69.13.59034;d9014ccb7278
1717607710.353866;192.168.1.1.8888;172.23.69.13.59034;461d99625f78
1717607710.353979;192.168.1.1.8888;172.23.69.13.59034;1d975b30fa31
1717607710.354107;192.168.1.1.8888;172.23.69.13.59034;522f61377319
1717607710.354224;192.168.1.1.8888;172.23.69.13.59034;51fabd2bf1e9
1717607710.354352;192.168.1.1.8888;172.23.69.13.59034;69f55a2ceec2
1717607710.354469;192.168.1.1.8888;172.23.69.13.59034;52d6ebfe1969
1717607710.354600;192.168.1.1.8888;172.23.69.13.59034;0f994d8c1e85
1717607710.354715;192.168.1.1.8888;172.23.69.13.59034;1bc1bf128f83
1717607710.354845;192.168.1.1.8888;172.23.69.13.59034;7d81283a21d0
1717607710.354959;192.168.1.1.8888;172.23.69.13.59034;acce993bee0c
1717607710.355088;192.168.1.1.8888;172.23.69.13.59034;87e419d67f60
1717607710.355207;192.168.1.1.8888;172.23.69.13.59034;b18b15fe595e
1717607710.355337;192.168.1.1.8888;172.23.69.13.59034;06951cb4e50d
1717607710.355455;192.168.1.1.8888;172.23.69.13.59034;843383578b63
1717607710.355596;192.168.1.1.8888;172.23.69.13.59034;e202afd97ef9
1717607710.355697;192.168.1.1.8888;172.23.69.13.59034;01cd93e0b96d
1717607710.355825;192.168.1.1.8888;172.23.69.13.59034;44851d50b47c
1717607710.355978;192.168.1.1.8888;172.23.69.13.59034;9c104e5b43e2
1717607710.386311;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.386340;192.168.1.1.8888;172.23.69.13.59034;c679798b88bd
1717607710.386429;192.168.1.1.8888;172.23.69.13.59034;af8b5637d0b7
1717607710.386565;192.168.1.1.8888;172.23.69.13.59034;2f5af86b6839
1717607710.386668;192.168.1.1.8888;172.23.69.13.59034;913d84db0c9a
1717607710.386796;192.168.1.1.8888;172.23.69.13.59034;194b5d66fb5b
1717607710.386911;192.168.1.1.8888;172.23.69.13.59034;2d881f500603
1717607710.387041;192.168.1.1.8888;172.23.69.13.59034;4201722ba2f2
1717607710.387158;192.168.1.1.8888;172.23.69.13.59034;c1376c480678
1717607710.387287;192.168.1.1.8888;172.23.69.13.59034;b7d9f4c19b3c
1717607710.387402;192.168.1.1.8888;172.23.69.13.59034;d50700cdb19b
1717607710.387551;192.168.1.1.8888;172.23.69.13.59034;cc67afd25ad3
1717607710.387665;192.168.1.1.8888;172.23.69.13.59034;4cb1973b8188
1717607710.387777;192.168.1.1.8888;172.23.69.13.59034;ef574cf050b7
1717607710.387954;192.168.1.1.8888;172.23.69.13.59034;5c28a914f40f
1717607710.388026;192.168.1.1.8888;172.23.69.13.59034;60dc63a9eb05
1717607710.388148;192.168.1.1.8888;172.23.69.13.59034;7b8d5089e3ca
1717607710.388265;192.168.1.1.8888;172.23.69.13.59034;490b0f6576da
1717607710.388393;192.168.1.1.8888;172.23.69.13.59034;534b27a5ac5e
1717607710.388510;192.168.1.1.8888;172.23.69.13.59034;452a9a716125
1717607710.388647;192.168.1.1.8888;172.23.69.13.59034;23ed7b13196e
1717607710.388818;192.168.1.1.8888;172.23.69.13.59034;5edb17098092
1717607710.390190;192.168.1.1.8888;172.23.69.13.59034;3e0cf949b7e6
1717607710.426488;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.427628;192.168.1.1.8888;172.23.69.13.59034;f143134f6d6e
1717607710.427737;192.168.1.1.8888;172.23.69.13.59034;ff3009fa83f7
1717607710.427745;192.168.1.1.8888;172.23.69.13.59034;8d05f2975b07
1717607710.457997;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.458053;192.168.1.1.8888;172.23.69.13.59034;c665a3c5515f
1717607710.458058;192.168.1.1.8888;172.23.69.13.59034;73aab70bc986
1717607710.495012;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.495072;192.168.1.1.8888;172.23.69.13.59034;6601a85e927b
1717607710.495081;192.168.1.1.8888;172.23.69.13.59034;846d2e49ba0e
1717607710.522140;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.522179;192.168.1.1.8888;172.23.69.13.59034;1f9fc228352f
1717607710.522239;192.168.1.1.8888;172.23.69.13.59034;b897e33b147e
1717607710.522356;192.168.1.1.8888;172.23.69.13.59034;0372bde3bfc8
1717607710.522478;192.168.1.1.8888;172.23.69.13.59034;e15937d8a74c
1717607710.522605;192.168.1.1.8888;172.23.69.13.59034;28337d6f8be5
1717607710.522733;192.168.1.1.8888;172.23.69.13.59034;025b8d4cd692
1717607710.522848;192.168.1.1.8888;172.23.69.13.59034;eb74fa405ddf
1717607710.522974;192.168.1.1.8888;172.23.69.13.59034;910daea7c661
1717607710.523255;192.168.1.1.8888;172.23.69.13.59034;47e7b866be6d
1717607710.523635;192.168.1.1.8888;172.23.69.13.59034;e2abd59288b3
1717607710.523727;192.168.1.1.8888;172.23.69.13.59034;5eaed479f4cb
1717607710.523909;192.168.1.1.8888;172.23.69.13.59034;afeaab196e55
1717607710.523963;192.168.1.1.8888;172.23.69.13.59034;8d5504bb8870
1717607710.524141;192.168.1.1.8888;172.23.69.13.59034;6414f7a83b0d
1717607710.524200;192.168.1.1.8888;172.23.69.13.59034;82f23851b8a8
1717607710.524374;192.168.1.1.8888;172.23.69.13.59034;a520aa8eb19e
1717607710.524452;192.168.1.1.8888;172.23.69.13.59034;5fed42f7c9e3
1717607710.524617;192.168.1.1.8888;172.23.69.13.59034;a2f241060eea
1717607710.524737;192.168.1.1.8888;172.23.69.13.59034;9454161d11e2
1717607710.524820;192.168.1.1.8888;172.23.69.13.59034;4a24237c41da
1717607710.524988;192.168.1.1.8888;172.23.69.13.59034;31a4ac1ddcfb
1717607710.525049;192.168.1.1.8888;172.23.69.13.59034;c18fc83f8bbb
1717607710.559953;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.560030;192.168.1.1.8888;172.23.69.13.59034;ad971a91f050
1717607710.560044;192.168.1.1.8888;172.23.69.13.59034;de5192347a61
1717607710.594739;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.594807;192.168.1.1.8888;172.23.69.13.59034;bc642d66f505
1717607710.594816;192.168.1.1.8888;172.23.69.13.59034;e3b8b449a35d
1717607710.621177;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.621207;192.168.1.1.8888;172.23.69.13.59034;d03c7c8deaf3
1717607710.621277;192.168.1.1.8888;172.23.69.13.59034;1a1c4c77380c
1717607710.621386;192.168.1.1.8888;172.23.69.13.59034;14247b3dd92a
1717607710.621512;192.168.1.1.8888;172.23.69.13.59034;2aaa28bcc220
1717607710.621627;192.168.1.1.8888;172.23.69.13.59034;a4c8795579e9
1717607710.621758;192.168.1.1.8888;172.23.69.13.59034;32d314c3589e
1717607710.621873;192.168.1.1.8888;172.23.69.13.59034;be5ca870cffe
1717607710.622000;192.168.1.1.8888;172.23.69.13.59034;ac520c847b33
1717607710.622122;192.168.1.1.8888;172.23.69.13.59034;2f6d5beb4e54
1717607710.622247;192.168.1.1.8888;172.23.69.13.59034;13c6974681d9
1717607710.622373;192.168.1.1.8888;172.23.69.13.59034;e89c0382118f
1717607710.622499;192.168.1.1.8888;172.23.69.13.59034;802872906aad
1717607710.622613;192.168.1.1.8888;172.23.69.13.59034;8db74b984296
1717607710.622736;192.168.1.1.8888;172.23.69.13.59034;303fdd687c93
1717607710.622856;192.168.1.1.8888;172.23.69.13.59034;14b0b4110c40
